transaction_id,customer_id,date,time,transaction_type,amount,location,merchant_category,is_fraud
T00011354,CUST000123,2023-07-31,22:22:06,CASH_WITHDRAWAL,42.92,Los Angeles,Healthcare,0
T00011028,CUST000774,2023-05-16,20:18:29,TRANSFER,394.36,Houston,Entertainment,0
T00030645,CUST000167,2023-12-05,03:29:05,CASH_WITHDRAWAL,199.95,San Jose,Education,0
T00041998,CUST000854,2023-08-24,23:26:43,CASH_WITHDRAWAL,120.35,Phoenix,Food,0
T00001165,CUST000344,2023-04-15,23:37:19,CASH_WITHDRAWAL,244.65,Phoenix,Education,0
T00009925,CUST000872,2023-07-23,09:24:24,TRANSFER,1019.8,Los Angeles,Retail,0
T00032149,CUST000139,2023-12-16,01:46:54,CASH_WITHDRAWAL,32.17,San Jose,Food,0
T00017593,CUST000611,2023-11-10,07:07:51,TRANSFER,1369.69,Phoenix,Food,0
T00020410,CUST000782,2023-12-16,12:25:38,CREDIT,3381.35,San Diego,Education,0
T00010390,CUST000345,2023-06-04,23:58:49,DEBIT,34.87,New York,Retail,0
T00004305,CUST000213,2023-08-16,00:03:59,TRANSFER,415.0,Chicago,Education,0
T00028594,CUST000920,2023-03-17,22:53:30,TRANSFER,112.31,Phoenix,Education,0
T00050936,CUST000976,2023-12-02,00:08:38,TRANSFER,61.69,Chicago,Retail,1
T00019811,CUST000865,2023-05-18,02:34:20,CREDIT,400.17,San Antonio,Food,0
T00049251,CUST000255,2023-12-04,11:45:58,PAYMENT,76.84,San Antonio,Retail,1
T00034337,CUST000036,2023-09-10,08:30:32,DEBIT,42.83,Houston,Retail,0
T00000212,CUST000707,2023-05-24,21:35:22,TRANSFER,914.6,Houston,Healthcare,0
T00032207,CUST000130,2023-09-22,11:16:37,DEBIT,165.54,San Jose,Utilities,0
T00046629,CUST000913,2023-10-19,20:56:48,CREDIT,1210.98,Los Angeles,Retail,0
T00001030,CUST000884,2023-02-23,15:16:30,CASH_WITHDRAWAL,212.79,Dallas,Entertainment,0
T00042149,CUST000867,2023-09-17,07:19:34,TRANSFER,721.33,Houston,Technology,0
T00017863,CUST000891,2023-08-09,21:34:54,DEBIT,43.41,Houston,Retail,0
T00051079,CUST000814,2023-04-21,06:51:52,CASH_WITHDRAWAL,57.59,San Diego,Food,1
T00009553,CUST000544,2023-12-06,22:35:04,PAYMENT,137.97,Houston,Utilities,0
T00043445,CUST000143,2023-07-05,11:36:55,PAYMENT,94.17,San Jose,Technology,0
T00033881,CUST000795,2023-03-11,15:18:03,TRANSFER,734.54,San Antonio,Healthcare,0
T00051118,CUST000215,2023-06-18,04:56:24,PAYMENT,14229.94,New York,Healthcare,1
T00038371,CUST000743,2023-10-15,04:10:23,CASH_WITHDRAWAL,276.57,Phoenix,Healthcare,0
T00000884,CUST000970,2023-02-15,10:36:10,CREDIT,4787.88,Dallas,Utilities,0
T00043901,CUST000785,2023-04-03,13:41:47,CREDIT,3681.51,San Diego,Education,0
T00021735,CUST000623,2023-06-12,22:53:35,DEBIT,108.63,Chicago,Entertainment,0
T00026743,CUST000058,2023-12-28,10:32:32,TRANSFER,955.88,Houston,Technology,0
T00039597,CUST000192,2023-12-14,16:30:57,DEBIT,82.86,Phoenix,Education,0
T00005227,CUST000990,2023-07-04,00:58:02,PAYMENT,233.81,San Antonio,Travel,0
T00045291,CUST000633,2023-11-20,15:40:54,CASH_WITHDRAWAL,294.84,New York,Education,0
T00025314,CUST000871,2023-01-08,00:58:39,DEBIT,95.38,Chicago,Healthcare,0
T00020606,CUST000686,2023-07-19,09:17:11,PAYMENT,136.19,San Antonio,Utilities,0
T00022636,CUST000203,2023-05-26,04:00:56,PAYMENT,137.66,San Jose,Travel,0
T00014664,CUST000846,2023-07-30,04:29:08,CASH_WITHDRAWAL,189.59,Dallas,Healthcare,0
T00050173,CUST000354,2023-06-07,04:27:55,PAYMENT,92.42,San Antonio,Travel,1
T00005966,CUST000120,2023-10-29,14:19:17,TRANSFER,442.76,Dallas,Education,0
T00022175,CUST000502,2023-05-31,20:42:09,CASH_WITHDRAWAL,183.27,San Jose,Education,0
T00027572,CUST000240,2023-03-18,22:52:00,TRANSFER,1008.45,Los Angeles,Technology,0
T00015028,CUST000601,2023-03-12,00:21:20,PAYMENT,285.72,San Antonio,Healthcare,0
T00014916,CUST000032,2023-01-29,02:23:20,CASH_WITHDRAWAL,192.74,Houston,Entertainment,0
T00030738,CUST000103,2023-06-26,02:19:35,PAYMENT,247.99,San Antonio,Retail,0
T00034965,CUST000394,2023-04-14,09:32:10,DEBIT,23.37,Phoenix,Utilities,0
T00049131,CUST000772,2023-08-31,07:00:11,CREDIT,98.63,San Jose,Food,1
T00015022,CUST000178,2023-12-01,22:33:56,TRANSFER,585.76,Dallas,Utilities,0
T00000543,CUST000916,2023-09-23,01:50:42,PAYMENT,32.51,San Diego,Retail,0
